inst_i,inst_j,weight
https://openalex.org/I134820265,https://openalex.org/I4210162051,6
https://openalex.org/I134820265,https://openalex.org/I57206974,74
https://openalex.org/I134820265,https://openalex.org/I62916508,144
https://openalex.org/I134820265,https://openalex.org/I8087733,116
https://openalex.org/I134820265,https://openalex.org/I887968799,67
https://openalex.org/I134820265,https://openalex.org/I97018004,110
https://openalex.org/I134820265,https://openalex.org/I99464096,184
https://openalex.org/I136199984,https://openalex.org/I154526488,4078
https://openalex.org/I136199984,https://openalex.org/I15766117,77
https://openalex.org/I136199984,https://openalex.org/I161046081,718
https://openalex.org/I136199984,https://openalex.org/I174306211,403
https://openalex.org/I136199984,https://openalex.org/I196349391,329
https://openalex.org/I136199984,https://openalex.org/I202697423,1581
https://openalex.org/I136199984,https://openalex.org/I205783295,5740
https://openalex.org/I136199984,https://openalex.org/I21491767,465
https://openalex.org/I136199984,https://openalex.org/I28166907,3369
https://openalex.org/I136199984,https://openalex.org/I3018134672,700
https://openalex.org/I136199984,https://openalex.org/I32021983,285
https://openalex.org/I136199984,https://openalex.org/I40120149,4325
https://openalex.org/I136199984,https://openalex.org/I4210087915,71264
https://openalex.org/I136199984,https://openalex.org/I4210162051,342
https://openalex.org/I136199984,https://openalex.org/I57206974,3605
https://openalex.org/I136199984,https://openalex.org/I62916508,1512
https://openalex.org/I136199984,https://openalex.org/I8087733,807
https://openalex.org/I136199984,https://openalex.org/I887968799,523
https://openalex.org/I136199984,https://openalex.org/I97018004,9773
https://openalex.org/I136199984,https://openalex.org/I99464096,1594
https://openalex.org/I154526488,https://openalex.org/I15766117,124
https://openalex.org/I154526488,https://openalex.org/I161046081,999
https://openalex.org/I154526488,https://openalex.org/I174306211,228
https://openalex.org/I154526488,https://openalex.org/I196349391,404
https://openalex.org/I154526488,https://openalex.org/I202697423,1219
https://openalex.org/I154526488,https://openalex.org/I205783295,1079
https://openalex.org/I154526488,https://openalex.org/I21491767,11025
https://openalex.org/I154526488,https://openalex.org/I28166907,3202
https://openalex.org/I154526488,https://openalex.org/I3018134672,763
https://openalex.org/I154526488,https://openalex.org/I32021983,380
https://openalex.org/I154526488,https://openalex.org/I40120149,2738
https://openalex.org/I154526488,https://openalex.org/I4210087915,1668
https://openalex.org/I154526488,https://openalex.org/I4210162051,449
https://openalex.org/I154526488,https://openalex.org/I57206974,712
https://openalex.org/I154526488,https://openalex.org/I62916508,866
https://openalex.org/I154526488,https://openalex.org/I8087733,841
https://openalex.org/I154526488,https://openalex.org/I887968799,428
https://openalex.org/I154526488,https://openalex.org/I97018004,1461
https://openalex.org/I154526488,https://openalex.org/I99464096,2559
https://openalex.org/I15766117,https://openalex.org/I161046081,77
https://openalex.org/I15766117,https://openalex.org/I174306211,13
https://openalex.org/I15766117,https://openalex.org/I196349391,24
https://openalex.org/I15766117,https://openalex.org/I202697423,102
https://openalex.org/I15766117,https://openalex.org/I205783295,47
https://openalex.org/I15766117,https://openalex.org/I21491767,29
https://openalex.org/I15766117,https://openalex.org/I28166907,96
https://openalex.org/I15766117,https://openalex.org/I3018134672,37
https://openalex.org/I15766117,https://openalex.org/I32021983,80
https://openalex.org/I15766117,https://openalex.org/I40120149,112
https://openalex.org/I15766117,https://openalex.org/I4210087915,23
https://openalex.org/I15766117,https://openalex.org/I4210162051,15
https://openalex.org/I15766117,https://openalex.org/I57206974,40
https://openalex.org/I15766117,https://openalex.org/I62916508,150
https://openalex.org/I15766117,https://openalex.org/I8087733,147
https://openalex.org/I15766117,https://openalex.org/I887968799,74
https://openalex.org/I15766117,https://openalex.org/I97018004,72
https://openalex.org/I15766117,https://openalex.org/I99464096,199
https://openalex.org/I161046081,https://openalex.org/I174306211,314
https://openalex.org/I161046081,https://openalex.org/I196349391,646
https://openalex.org/I161046081,https://openalex.org/I202697423,900
https://openalex.org/I161046081,https://openalex.org/I205783295,265
https://openalex.org/I161046081,https://openalex.org/I21491767,400
https://openalex.org/I161046081,https://openalex.org/I28166907,397
https://openalex.org/I161046081,https://openalex.org/I3018134672,437
https://openalex.org/I161046081,https://openalex.org/I32021983,387
https://openalex.org/I161046081,https://openalex.org/I40120149,682
https://openalex.org/I161046081,https://openalex.org/I4210087915,315
https://openalex.org/I161046081,https://openalex.org/I4210162051,452
https://openalex.org/I161046081,https://openalex.org/I57206974,144
https://openalex.org/I161046081,https://openalex.org/I62916508,1268
https://openalex.org/I161046081,https://openalex.org/I8087733,1041
